Info 0    [18:21:38.301] Starting TS Server
Info 1    [18:21:38.302] Version: 3.3.3333
Info 2    [18:21:38.302] Arguments: /usr/local/n/versions/node/10.10.0/bin/node /home/shane/node_modules/.bin/tsserver --logFile /home/shane/var/smulliga/source/git/acmeism/RosettaCodeData/.log/tsserver.log --logVerbosity info --cancellationPipeName /tmp/c0e3908a73fd2e399cceafd991841964/tscancellation*
Info 3    [18:21:38.302] Platform: linux NodeVersion: 10 CaseSensitive: true
Info 4    [18:21:39.942] Search path: /home/shane/source/git/acmeism/RosettaCodeData/Task/AKS-test-for-primes/JavaScript
Info 5    [18:21:39.944] For info: /home/shane/source/git/acmeism/RosettaCodeData/Task/AKS-test-for-primes/JavaScript/aks-test-for-primes-3.js :: No config files found.
Info 6    [18:21:39.948] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 7    [18:21:42.224] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true Elapsed: 2275ms
Info 8    [18:21:42.348] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 9    [18:21:42.355] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: false Elapsed: 6ms
Info 10   [18:21:42.599] Structure before ensureProjectForOpenFiles:
Info 11   [18:21:42.599] Structure after ensureProjectForOpenFiles:
Info 12   [18:21:42.599] got projects updated in background, updating diagnostics for /home/shane/source/git/acmeism/RosettaCodeData/Task/AKS-test-for-primes/JavaScript/aks-test-for-primes-3.js
Info 13   [18:21:44.499] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 14   [18:21:44.514] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: false Elapsed: 14ms
Info 15   [18:21:44.679] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 16   [18:21:44.686] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: false Elapsed: 7ms
Info 17   [18:21:44.759] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
